CONN id,,,,,,
1,190716FKEE1,,,,,
2,190717JSCH1,,,,,
3,190725LGEN1,,,,,
4,190904GHER1,,,,,
5,191011LDIR1,,,,,
6,191113JPRE1,,,,,
7,191114CWEI1,,,,,
8,191204MBLO1,,,,,
9,200115EROS1,,,,,
10,200116TCIE1,,,,,
11,200123GCAS1,,,,,
12,200127DFAI1,,,,,
13,200204JKAY1,,,,,
14,200213LOLE1,,,,,
15,201210SCAE1,,,,,
16,201216EHER1,,,,,
17,210202LJAC1,,,,,
18,210223ASHA1,,,,,
19,210526GSHA1,,,,,
20,210616AEHR1,,,,,
21,210715ELAR1,,,,,
22,210719BFOR1,,,,,
23,211028AZHA1,,,,,
24,211103LGAR1,,,,,
25,211104CZAL1,,,,,
26,211118APOP1,,,,,
27,211118TSTA1,,,,,
28,211122LWIE1,,,,,
29,211123GWAI1,,,,,
30,211129SCAM1,,,,,
31,211201KCHU1,,,,,
32,211202KPLU1,,,,,
33,211203KWAL1,,,,,
34,211203ZCAR1,,,,,
35,211206JLAW1,,,,,
36,211209ASUR1,,,,,
37,220201IZIK1,,,,,
38,220203SAPE1,,,,,
39,220210TBOY1,,,,,
40,220215MCHI1,,,,,
41,220217JCLA1,,,,,
42,220222SSOH1,,,,,
43,220301AWIL1,,,,,
44,220303STHO1,,,,,
45,220308MBIC1,,,,,
46,220310CKOB1,,,,,
47,220315CNOR1,,,,,
48,220322ALIU1,,,,,
49,220329OEGB1,,,,,
50,220405EMCG1,,,,,
51,220412YDIA1,,,,,
52,220421NLEN1,,,,,
53,220503MCHO1,,,,,
54,220505ETIN1,,,,,
55,220510SSHA1,,,,,
56,220324OKHE1,,,,,
57,211028SLEE1,,,,,
58,200211DCAT1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
