-0.17964,0.25806,-0.064495,-0.025099,-0.099317,0.028316,-0.089944,0.13797,-0.1331,0.026397,-0.068476,-0.055622,-0.041305,-0.15676,0.064969,0.0051209,0.057535,-0.014578,0.075678,0.11397,0.2908,0.00089395,-0.22626,0.15955,0.17286,0.032511,-0.19053,0.024415,0.064169,-0.20607,0.14169,0.13779,0.1933,0.12705,0.18889,-0.17481,0.007001,-0.069135,-0.27491,-0.015184,-0.56806,-0.1942,-0.059229,-0.26299,0.067275,-0.099565,-0.27487,0.26171,0.13523,0.14649,0.19103,0.0018181,0.076256,-0.087184,0.11218,-0.072421,0.015367,0.086013
-0.17577,0.24756,-0.059298,-0.028232,-0.10017,0.028442,-0.090519,0.13395,-0.1333,0.033978,-0.062169,-0.049315,-0.034908,-0.15493,0.066483,0.010188,0.057923,-0.013013,0.066431,0.11076,0.29757,0.0041343,-0.23053,0.16301,0.17358,0.025551,-0.18233,0.028228,0.068299,-0.19897,0.14364,0.13279,0.19327,0.12153,0.19429,-0.17489,0.015693,-0.070696,-0.27046,-0.012817,-0.57104,-0.1908,-0.059511,-0.25756,0.06315,-0.097541,-0.27343,0.25691,0.12988,0.14399,0.18398,-0.0050231,0.078663,-0.081209,0.10972,-0.07343,0.018324,0.084238
-0.16816,0.22735,-0.049237,-0.034272,-0.10181,0.0287,-0.091609,0.12613,-0.13375,0.048568,-0.049969,-0.037133,-0.022526,-0.15137,0.069362,0.019978,0.058687,-0.010066,0.04853,0.10463,0.3107,0.010401,-0.23869,0.16966,0.17514,0.012056,-0.1665,0.035503,0.076098,-0.1853,0.14726,0.12318,0.19325,0.11086,0.20461,-0.17505,0.03237,-0.07369,-0.26186,-0.0081961,-0.57688,-0.18421,-0.059985,-0.24695,0.055097,-0.09363,-0.27072,0.24766,0.11964,0.13913,0.17043,-0.018294,0.083388,-0.069658,0.10501,-0.075343,0.024167,0.080767
-0.15709,0.19892,-0.034955,-0.042787,-0.10414,0.029104,-0.093101,0.11499,-0.13453,0.069055,-0.032679,-0.019915,-0.004964,-0.14628,0.073323,0.033826,0.059799,-0.0060857,0.023125,0.096147,0.32947,0.019278,-0.25001,0.17898,0.17773,-0.0071538,-0.14413,0.045558,0.086675,-0.16615,0.152,0.1097,0.19335,0.095766,0.21893,-0.17528,0.055674,-0.077872,-0.24969,-0.0015389,-0.58538,-0.17487,-0.060486,-0.23167,0.043493,-0.088099,-0.26704,0.23463,0.1054,0.13222,0.15141,-0.037195,0.09025,-0.053301,0.098398,-0.077967,0.032747,0.075755
-0.14299,0.16439,-0.017374,-0.05316,-0.10701,0.029669,-0.094841,0.10117,-0.13577,0.093863,-0.011444,0.0011465,0.016633,-0.13994,0.077964,0.050778,0.061215,-0.0015618,-0.0081419,0.086111,0.3528,0.030173,-0.26347,0.19023,0.18162,-0.030912,-0.11678,0.057426,0.098776,-0.14301,0.15708,0.093394,0.19366,0.077271,0.23594,-0.17555,0.083694,-0.082895,-0.2348,0.006842,-0.59619,-0.16336,-0.060778,-0.21242,0.028886,-0.081331,-0.26279,0.21873,0.088402,0.1237,0.12842,-0.060586,0.098989,-0.033233,0.090421,-0.081031,0.043836,0.069421
-0.12638,0.12638,0.0023615,-0.064635,-0.11023,0.030408,-0.096652,0.08547,-0.1376,0.12104,0.012316,0.024577,0.040846,-0.13271,0.082795,0.069653,0.06287,0.0029138,-0.043235,0.075462,0.37933,0.042349,-0.27782,0.20248,0.1871,-0.057782,-0.08638,0.069916,0.11087,-0.11775,0.16161,0.075548,0.19432,0.056644,0.25404,-0.17587,0.11411,-0.088334,-0.21822,0.016558,-0.60888,-0.15044,-0.060587,-0.19014,0.011962,-0.073806,-0.25849,0.2011,0.070156,0.11411,0.10325,-0.087053,0.10927,-0.010796,0.081695,-0.084218,0.057124,0.062035
-0.10793,0.087836,0.022947,-0.076364,-0.11357,0.031333,-0.09835,0.068803,-0.14016,0.14838,0.036986,0.048711,0.066068,-0.125,0.087275,0.089108,0.064672,0.0066945,-0.07984,0.065215,0.40754,0.054967,-0.29166,0.21474,0.19444,-0.086147,-0.055132,0.081693,0.12128,-0.092436,0.16457,0.057563,0.19545,0.035322,0.2714,-0.17619,0.14439,-0.093716,-0.20115,0.027164,-0.62291,-0.13693,-0.059618,-0.16587,-0.0064868,-0.066077,-0.25469,0.183,0.052325,0.10404,0.077919,-0.11499,0.12071,0.012508,0.07289,-0.087196,0.072212,0.053906
-0.088407,0.051842,0.042992,-0.087463,-0.11681,0.032441,-0.099772,0.052113,-0.14357,0.17358,0.060858,0.071794,0.090596,-0.11726,0.090851,0.10772,0.0665,0.00913,-0.1155,0.056363,0.43577,0.067137,-0.30357,0.22596,0.20388,-0.11431,-0.025367,0.091363,0.12827,-0.069246,0.165,0.040872,0.19715,0.014817,0.28615,-0.1765,0.17193,-0.098554,-0.18487,0.038184,-0.63763,-0.12369,-0.057585,-0.14083,-0.025596,-0.058743,-0.25191,0.16571,0.036594,0.094136,0.054505,-0.14268,0.13286,0.035117,0.064661,-0.089647,0.088606,0.045357
-0.068646,0.021419,0.061106,-0.097071,-0.1197,0.033719,-0.10079,0.03633,-0.14795,0.19436,0.082222,0.092091,0.11274,-0.10993,0.092998,0.12405,0.068203,0.0096192,-0.14776,0.049786,0.46232,0.077963,-0.31217,0.23513,0.21553,-0.14062,0.0005894,0.097567,0.13019,-0.050288,0.16203,0.02683,0.19948,-0.003373,0.29643,-0.17677,0.19432,-0.10238,-0.17065,0.049136,-0.65233,-0.11157,-0.054243,-0.11624,-0.044474,-0.052415,-0.25066,0.15042,0.024541,0.085015,0.034994,-0.16844,0.14525,0.055512,0.057596,-0.091311,0.10572,0.036712
-0.049559,-0.00066497,0.075971,-0.1044,-0.12199,0.035132,-0.10134,0.022307,-0.15333,0.20859,0.099476,0.108,0.13092,-0.10348,0.093267,0.13677,0.069598,0.0076596,-0.17431,0.046164,0.48555,0.086597,-0.31625,0.24138,0.22935,-0.16355,0.020547,0.099079,0.12565,-0.037471,0.15497,0.016604,0.20243,-0.01786,0.30054,-0.17698,0.20948,-0.10479,-0.15974,0.059551,-0.66619,-0.10132,-0.04941,-0.093371,-0.062237,-0.047689,-0.2513,0.1382,0.017512,0.07726,0.021149,-0.19063,0.15739,0.072321,0.052156,-0.092005,0.12288,0.02828
