PPID,Type,Liking,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
220811DMUN1,Liking,Neutral,301,361,421,721,901,1021,1141,1201,1381,,,,,,,,,
220811DMUN1,Liking,Like,1,61,481,541,601,961,1081,,,,,,,,,,,
220811DMUN1,Liking,Love,121,181,241,661,781,841,1261,1321,,,,,,,,,,
220811DMUN3,Liking,Neutral,1,61,181,301,421,1081,1381,,,,,,,,,,,
220811DMUN3,Liking,Like,121,241,361,481,541,721,901,1021,1201,1321,,,,,,,,
220811DMUN3,Liking,Love,601,661,781,841,961,1141,1261,,,,,,,,,,,
220914GHER1,Liking,Hate,481,781,841,1201,1381,,,,,,,,,,,,,
220914GHER1,Liking,Neutral,121,181,241,301,361,421,541,601,721,901,961,1141,,,,,,
220914GHER1,Liking,Like,1,1021,1081,1261,1321,,,,,,,,,,,,,
220914GHER1,Liking,,61,661,,,,,,,,,,,,,,,,
220914GHER3,Liking,Hate,601,841,,,,,,,,,,,,,,,,
220914GHER3,Liking,Neutral,1,121,241,301,541,661,721,781,901,961,1081,1141,1201,1321,,,,
220914GHER3,Liking,Like,61,181,361,481,1261,1381,,,,,,,,,,,,
220914GHER3,Liking,Love,421,1021,,,,,,,,,,,,,,,,
220919JDEN1,Liking,Neutral,1,181,541,661,841,901,961,1141,1261,1321,1381,,,,,,,
220919JDEN1,Liking,Like,121,301,481,601,781,,,,,,,,,,,,,
220919JDEN1,Liking,Love,61,241,361,421,721,1081,1201,,,,,,,,,,,
220919JDEN1,Liking,,1021,,,,,,,,,,,,,,,,,
220919JDEN3,Liking,Neutral,61,121,181,241,301,361,421,481,601,661,901,1141,,,,,,
220919JDEN3,Liking,Like,841,961,1261,1321,,,,,,,,,,,,,,
220919JDEN3,Liking,Love,1,541,721,781,1021,1081,1201,1381,,,,,,,,,,
221103EKAS1,Liking,Hate,661,901,1321,,,,,,,,,,,,,,,
221103EKAS1,Liking,Neutral,121,241,361,481,541,,,,,,,,,,,,,
221103EKAS1,Liking,Like,1,61,181,301,421,601,781,1021,1141,1261,,,,,,,,
221103EKAS1,Liking,Love,721,841,961,1081,1201,1381,,,,,,,,,,,,
READMREADME.txt,Liking,,1,,,,,,,,,,,,,,,,,
