PPID,Type,Familiarity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
220315CNOR1,Familiarity,VeryFamiliar,121,241,301,421,481,661,901,961,1021,1081,1261,1381,,,,,,,,,,,,
220322ALIU1,Familiarity,VeryUnfamiliar,61,,,,,,,,,,,,,,,,,,,,,,,
220322ALIU1,Familiarity,Unfamiliar,601,,,,,,,,,,,,,,,,,,,,,,,
220322ALIU1,Familiarity,Familiar,1,241,421,541,781,1141,1201,1261,,,,,,,,,,,,,,,,
220322ALIU1,Familiarity,VeryFamiliar,121,181,301,361,481,661,721,841,901,961,1021,1081,1321,1381,,,,,,,,,,
220324OKHE1,Familiarity,VeryUnfamiliar,121,301,781,1201,1261,,,,,,,,,,,,,,,,,,,
220324OKHE1,Familiarity,Unfamiliar,61,541,601,841,1021,1141,,,,,,,,,,,,,,,,,,
220324OKHE1,Familiarity,Familiar,421,661,721,1381,,,,,,,,,,,,,,,,,,,,
220324OKHE1,Familiarity,VeryFamiliar,1,181,241,361,481,901,961,1081,1321,,,,,,,,,,,,,,,
220329OEGB1,Familiarity,VeryUnfamiliar,481,721,781,841,1021,1081,1141,1201,,,,,,,,,,,,,,,,
220329OEGB1,Familiarity,Unfamiliar,421,,,,,,,,,,,,,,,,,,,,,,,
220329OEGB1,Familiarity,Familiar,181,241,661,961,1321,1381,,,,,,,,,,,,,,,,,,
220329OEGB1,Familiarity,VeryFamiliar,1,61,121,301,361,541,601,901,1261,,,,,,,,,,,,,,,
220405EMCG1,Familiarity,Unfamiliar,361,481,541,,,,,,,,,,,,,,,,,,,,,
220405EMCG1,Familiarity,Familiar,1,181,301,601,961,1021,1201,,,,,,,,,,,,,,,,,
220405EMCG1,Familiarity,VeryFamiliar,61,121,241,421,661,721,781,841,901,1081,1141,1261,1321,1381,,,,,,,,,,
220412YDIA1,Familiarity,VeryUnfamiliar,1,241,481,781,,,,,,,,,,,,,,,,,,,,
220412YDIA1,Familiarity,Unfamiliar,121,601,961,1321,,,,,,,,,,,,,,,,,,,,
220412YDIA1,Familiarity,Familiar,661,721,1081,1141,1381,,,,,,,,,,,,,,,,,,,
220412YDIA1,Familiarity,VeryFamiliar,61,181,301,361,421,541,841,901,1021,1201,1261,,,,,,,,,,,,,
220421NLEN1,Familiarity,VeryUnfamiliar,1,61,721,1321,,,,,,,,,,,,,,,,,,,,
220421NLEN1,Familiarity,Unfamiliar,541,661,841,1201,1261,1381,,,,,,,,,,,,,,,,,,
220421NLEN1,Familiarity,Familiar,181,301,601,781,961,1081,,,,,,,,,,,,,,,,,,
220421NLEN1,Familiarity,VeryFamiliar,121,241,361,421,481,901,1021,1141,,,,,,,,,,,,,,,,
220421NLEN3,Familiarity,VeryUnfamiliar,61,181,601,841,,,,,,,,,,,,,,,,,,,,
220421NLEN3,Familiarity,Unfamiliar,241,301,541,661,721,961,1141,1261,1381,,,,,,,,,,,,,,,
220421NLEN3,Familiarity,Familiar,121,1321,,,,,,,,,,,,,,,,,,,,,,
220421NLEN3,Familiarity,VeryFamiliar,1,361,421,481,781,901,1021,1081,1201,,,,,,,,,,,,,,,
220503MCHO1,Familiarity,VeryUnfamiliar,901,,,,,,,,,,,,,,,,,,,,,,,
220503MCHO1,Familiarity,Unfamiliar,1,481,,,,,,,,,,,,,,,,,,,,,,
220503MCHO1,Familiarity,Familiar,181,301,961,1141,,,,,,,,,,,,,,,,,,,,
220503MCHO1,Familiarity,VeryFamiliar,61,121,241,361,421,541,601,661,721,781,841,1021,1081,1201,1261,1321,1381,,,,,,,
220505ETIN1,Familiarity,Unfamiliar,121,721,781,1021,1081,,,,,,,,,,,,,,,,,,,
220505ETIN1,Familiarity,Familiar,301,421,901,1201,1261,,,,,,,,,,,,,,,,,,,
220505ETIN1,Familiarity,VeryFamiliar,1,61,181,241,361,481,541,601,661,841,961,1141,1321,1381,,,,,,,,,,
220510SSHA1,Familiarity,Unfamiliar,481,721,1021,,,,,,,,,,,,,,,,,,,,,
220510SSHA1,Familiarity,Familiar,241,421,781,841,,,,,,,,,,,,,,,,,,,,
220510SSHA1,Familiarity,VeryFamiliar,1,61,121,181,301,361,541,601,661,901,961,1081,1141,1201,1261,1321,1381,,,,,,,
220519JKIM1,Familiarity,VeryUnfamiliar,1261,,,,,,,,,,,,,,,,,,,,,,,
220519JKIM1,Familiarity,Unfamiliar,361,1321,,,,,,,,,,,,,,,,,,,,,,
220519JKIM1,Familiarity,Familiar,61,121,301,541,961,1381,,,,,,,,,,,,,,,,,,
220519JKIM1,Familiarity,VeryFamiliar,1,181,241,421,481,601,661,721,781,841,901,1021,1081,1141,1201,,,,,,,,,
220519MFAN1,Familiarity,VeryUnfamiliar,181,541,721,,,,,,,,,,,,,,,,,,,,,
220519MFAN1,Familiarity,Unfamiliar,1,121,361,421,,,,,,,,,,,,,,,,,,,,
220519MFAN1,Familiarity,Familiar,1081,,,,,,,,,,,,,,,,,,,,,,,
220519MFAN1,Familiarity,VeryFamiliar,61,241,301,481,601,661,781,841,901,961,1021,1141,1201,1261,1321,1381,,,,,,,,
220524SQUI1,Familiarity,VeryUnfamiliar,61,301,541,721,781,961,1261,1381,,,,,,,,,,,,,,,,
220524SQUI1,Familiarity,Unfamiliar,1,,,,,,,,,,,,,,,,,,,,,,,
220524SQUI1,Familiarity,Familiar,181,361,421,901,1201,1321,,,,,,,,,,,,,,,,,,
220524SQUI1,Familiarity,VeryFamiliar,121,241,481,601,661,841,1021,1081,1141,,,,,,,,,,,,,,,
220602KRIN1,Familiarity,VeryUnfamiliar,301,1021,,,,,,,,,,,,,,,,,,,,,,
220602KRIN1,Familiarity,Unfamiliar,181,781,841,1381,,,,,,,,,,,,,,,,,,,,
220602KRIN1,Familiarity,Familiar,1,541,,,,,,,,,,,,,,,,,,,,,,
220602KRIN1,Familiarity,VeryFamiliar,61,121,241,361,421,481,601,661,721,901,961,1081,1141,1201,1261,1321,,,,,,,,
220607ISHR1,Familiarity,Unfamiliar,241,421,481,961,,,,,,,,,,,,,,,,,,,,
220607ISHR1,Familiarity,Familiar,1,121,301,541,661,721,781,841,1021,1321,1381,,,,,,,,,,,,,
220607ISHR1,Familiarity,VeryFamiliar,61,181,361,601,901,1081,1141,1201,1261,,,,,,,,,,,,,,,
220609TDEV1,Familiarity,VeryUnfamiliar,721,781,1081,,,,,,,,,,,,,,,,,,,,,
220609TDEV1,Familiarity,Unfamiliar,301,421,481,1321,1381,,,,,,,,,,,,,,,,,,,
220609TDEV1,Familiarity,Familiar,661,,,,,,,,,,,,,,,,,,,,,,,
220609TDEV1,Familiarity,VeryFamiliar,1,61,121,181,241,361,541,601,841,901,961,1021,1141,1201,1261,,,,,,,,,
220614ARAM1,Familiarity,VeryUnfamiliar,181,,,,,,,,,,,,,,,,,,,,,,,
220614ARAM1,Familiarity,Unfamiliar,1,661,721,1381,,,,,,,,,,,,,,,,,,,,
220614ARAM1,Familiarity,Familiar,61,121,481,541,1021,1321,,,,,,,,,,,,,,,,,,
220614ARAM1,Familiarity,VeryFamiliar,241,301,361,421,601,781,841,901,961,1081,1141,1201,1261,,,,,,,,,,,
220616CSAI1,Familiarity,Unfamiliar,1,361,1381,,,,,,,,,,,,,,,,,,,,,
220616CSAI1,Familiarity,Familiar,61,181,421,541,601,661,841,901,961,1081,1261,,,,,,,,,,,,,
220616CSAI1,Familiarity,VeryFamiliar,121,241,301,481,721,781,1021,1141,1201,1321,,,,,,,,,,,,,,
220621FINE1,Familiarity,VeryUnfamiliar,241,301,421,901,1141,,,,,,,,,,,,,,,,,,,
220621FINE1,Familiarity,Unfamiliar,61,181,361,481,601,781,841,961,1261,1321,,,,,,,,,,,,,,
220621FINE1,Familiarity,Familiar,541,1381,,,,,,,,,,,,,,,,,,,,,,
220621FINE1,Familiarity,VeryFamiliar,1,121,661,721,1021,1081,1201,,,,,,,,,,,,,,,,,
220811DMUN1,Familiarity,VeryUnfamiliar,61,481,541,601,901,1081,1141,1381,,,,,,,,,,,,,,,,
220811DMUN1,Familiarity,Unfamiliar,301,361,421,1021,,,,,,,,,,,,,,,,,,,,
220811DMUN1,Familiarity,Familiar,721,961,1201,,,,,,,,,,,,,,,,,,,,,
220811DMUN1,Familiarity,VeryFamiliar,1,121,181,241,661,781,841,1261,1321,,,,,,,,,,,,,,,
220811DMUN3,Familiarity,VeryUnfamiliar,121,361,541,721,1021,1201,1321,1381,,,,,,,,,,,,,,,,
220811DMUN3,Familiarity,Unfamiliar,61,,,,,,,,,,,,,,,,,,,,,,,
220811DMUN3,Familiarity,Familiar,1,181,301,421,901,1081,,,,,,,,,,,,,,,,,,
220811DMUN3,Familiarity,VeryFamiliar,241,481,601,661,781,841,961,1141,1261,,,,,,,,,,,,,,,
220914GHER1,Familiarity,VeryUnfamiliar,121,241,301,361,781,1201,1381,,,,,,,,,,,,,,,,,
220914GHER1,Familiarity,Unfamiliar,181,421,481,541,601,661,721,841,961,1141,,,,,,,,,,,,,,
220914GHER1,Familiarity,Familiar,1,61,901,1021,1081,1261,1321,,,,,,,,,,,,,,,,,
220914GHER3,Familiarity,VeryUnfamiliar,541,601,841,,,,,,,,,,,,,,,,,,,,,
220914GHER3,Familiarity,Unfamiliar,1,121,241,301,661,721,781,901,961,1081,1141,1201,1321,,,,,,,,,,,
220914GHER3,Familiarity,Familiar,61,181,361,1261,1381,,,,,,,,,,,,,,,,,,,
220914GHER3,Familiarity,VeryFamiliar,421,481,1021,,,,,,,,,,,,,,,,,,,,,
220919JDEN1,Familiarity,VeryUnfamiliar,1,181,301,541,661,781,841,901,961,1021,1141,1261,1321,,,,,,,,,,,
220919JDEN1,Familiarity,Unfamiliar,121,481,1381,,,,,,,,,,,,,,,,,,,,,
220919JDEN1,Familiarity,Familiar,601,,,,,,,,,,,,,,,,,,,,,,,
220919JDEN1,Familiarity,VeryFamiliar,61,241,361,421,721,1081,1201,,,,,,,,,,,,,,,,,
220919JDEN3,Familiarity,VeryUnfamiliar,1,61,121,181,301,361,421,661,901,1321,,,,,,,,,,,,,,
220919JDEN3,Familiarity,Unfamiliar,481,601,1141,1261,,,,,,,,,,,,,,,,,,,,
220919JDEN3,Familiarity,Familiar,241,841,961,,,,,,,,,,,,,,,,,,,,,
220919JDEN3,Familiarity,VeryFamiliar,541,721,781,1021,1081,1201,1381,,,,,,,,,,,,,,,,,
221103EKAS1,Familiarity,VeryUnfamiliar,1,61,121,181,361,481,601,661,781,1021,1261,,,,,,,,,,,,,
221103EKAS1,Familiarity,Unfamiliar,241,,,,,,,,,,,,,,,,,,,,,,,
221103EKAS1,Familiarity,Familiar,421,1141,,,,,,,,,,,,,,,,,,,,,,
221103EKAS1,Familiarity,VeryFamiliar,301,541,721,841,901,961,1081,1201,1321,1381,,,,,,,,,,,,,,
READMREADME.txt,Familiarity,,1,,,,,,,,,,,,,,,,,,,,,,,
