PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
220412YDIA1,Stimulus,ss,61,301,361,421,541,901,,,,,,,,,,,,,,,,,,
220412YDIA1,Stimulus,fw,1,121,241,481,781,961,1201,1261,1321,1381,,,,,,,,,,,,,,
220412YDIA1,Stimulus,bp,181,661,721,1141,,,,,,,,,,,,,,,,,,,,
220412YDIA1,Stimulus,nw,601,841,1021,1081,,,,,,,,,,,,,,,,,,,,
220421NLEN1,Stimulus,ss,121,361,421,901,1021,1141,,,,,,,,,,,,,,,,,,
220421NLEN1,Stimulus,fw,1,181,241,301,481,601,781,961,1081,1201,,,,,,,,,,,,,,
220421NLEN1,Stimulus,bp,61,541,721,1261,,,,,,,,,,,,,,,,,,,,
220421NLEN1,Stimulus,nw,661,841,1321,1381,,,,,,,,,,,,,,,,,,,,
220421NLEN3,Stimulus,ss,1,361,781,901,1021,1201,,,,,,,,,,,,,,,,,,
220421NLEN3,Stimulus,fw,121,241,421,481,541,661,1081,1261,1321,1381,,,,,,,,,,,,,,
220421NLEN3,Stimulus,bp,61,181,601,721,,,,,,,,,,,,,,,,,,,,
220421NLEN3,Stimulus,nw,301,841,961,1141,,,,,,,,,,,,,,,,,,,,
220503MCHO1,Stimulus,ss,61,121,601,661,781,1201,,,,,,,,,,,,,,,,,,
220503MCHO1,Stimulus,fw,1,181,241,301,421,481,541,901,961,1141,,,,,,,,,,,,,,
220503MCHO1,Stimulus,bp,361,1021,1321,1381,,,,,,,,,,,,,,,,,,,,
220503MCHO1,Stimulus,nw,721,841,1081,1261,,,,,,,,,,,,,,,,,,,,
220505ETIN1,Stimulus,ss,61,361,601,961,1141,1381,,,,,,,,,,,,,,,,,,
220505ETIN1,Stimulus,fw,121,301,421,721,781,901,1021,1081,1201,1261,,,,,,,,,,,,,,
220505ETIN1,Stimulus,bp,1,181,481,541,,,,,,,,,,,,,,,,,,,,
220505ETIN1,Stimulus,nw,241,661,841,1321,,,,,,,,,,,,,,,,,,,,
220510SSHA1,Stimulus,ss,61,181,601,961,1081,1141,,,,,,,,,,,,,,,,,,
220510SSHA1,Stimulus,fw,1,241,421,481,721,781,841,901,1021,1201,,,,,,,,,,,,,,
220510SSHA1,Stimulus,bp,121,361,1261,1381,,,,,,,,,,,,,,,,,,,,
220510SSHA1,Stimulus,nw,301,541,661,1321,,,,,,,,,,,,,,,,,,,,
220519JKIM1,Stimulus,ss,1,181,421,661,781,1201,,,,,,,,,,,,,,,,,,
220519JKIM1,Stimulus,fw,61,121,301,361,541,721,841,961,1081,1261,,,,,,,,,,,,,,
220519JKIM1,Stimulus,bp,901,1141,1321,1381,,,,,,,,,,,,,,,,,,,,
220519JKIM1,Stimulus,nw,241,481,601,1021,,,,,,,,,,,,,,,,,,,,
220519MFAN1,Stimulus,ss,781,841,1021,1141,1201,1261,,,,,,,,,,,,,,,,,,
220519MFAN1,Stimulus,fw,1,121,181,241,361,421,541,601,721,1081,,,,,,,,,,,,,,
220519MFAN1,Stimulus,bp,61,901,1321,1381,,,,,,,,,,,,,,,,,,,,
220519MFAN1,Stimulus,nw,301,481,661,961,,,,,,,,,,,,,,,,,,,,
220524SQUI1,Stimulus,ss,121,481,601,841,1081,1141,,,,,,,,,,,,,,,,,,
220524SQUI1,Stimulus,fw,1,61,301,541,721,781,961,1201,1261,1381,,,,,,,,,,,,,,
220524SQUI1,Stimulus,bp,361,661,901,1021,,,,,,,,,,,,,,,,,,,,
220524SQUI1,Stimulus,nw,181,241,421,1321,,,,,,,,,,,,,,,,,,,,
220602KRIN1,Stimulus,ss,421,721,1141,1201,1261,1321,,,,,,,,,,,,,,,,,,
220602KRIN1,Stimulus,fw,1,61,121,181,301,541,781,841,1021,1381,,,,,,,,,,,,,,
220602KRIN1,Stimulus,bp,241,361,661,1081,,,,,,,,,,,,,,,,,,,,
220602KRIN1,Stimulus,nw,481,601,901,961,,,,,,,,,,,,,,,,,,,,
220607ISHR1,Stimulus,ss,61,181,361,901,1081,1201,,,,,,,,,,,,,,,,,,
220607ISHR1,Stimulus,fw,241,421,481,661,721,781,961,1021,1141,1261,,,,,,,,,,,,,,
220607ISHR1,Stimulus,bp,1,121,841,1381,,,,,,,,,,,,,,,,,,,,
220607ISHR1,Stimulus,nw,301,541,601,1321,,,,,,,,,,,,,,,,,,,,
220609TDEV1,Stimulus,ss,1,181,361,601,961,1021,,,,,,,,,,,,,,,,,,
220609TDEV1,Stimulus,fw,301,421,481,661,721,781,841,1081,1321,1381,,,,,,,,,,,,,,
220609TDEV1,Stimulus,bp,241,541,901,1201,,,,,,,,,,,,,,,,,,,,
220609TDEV1,Stimulus,nw,61,121,1141,1261,,,,,,,,,,,,,,,,,,,,
220614ARAM1,Stimulus,ss,301,601,721,841,1081,1201,,,,,,,,,,,,,,,,,,
220614ARAM1,Stimulus,fw,1,61,121,181,241,421,481,541,661,1381,,,,,,,,,,,,,,
220614ARAM1,Stimulus,bp,961,1021,1141,1321,,,,,,,,,,,,,,,,,,,,
220614ARAM1,Stimulus,nw,361,781,901,1261,,,,,,,,,,,,,,,,,,,,
220616CSAI1,Stimulus,ss,61,121,301,781,1021,1321,,,,,,,,,,,,,,,,,,
220616CSAI1,Stimulus,fw,1,181,241,361,481,601,721,901,1201,1381,,,,,,,,,,,,,,
220616CSAI1,Stimulus,bp,421,541,841,1081,,,,,,,,,,,,,,,,,,,,
220616CSAI1,Stimulus,nw,661,961,1141,1261,,,,,,,,,,,,,,,,,,,,
220621FINE1,Stimulus,ss,1,121,661,1021,1081,1201,,,,,,,,,,,,,,,,,,
220621FINE1,Stimulus,fw,241,301,421,541,721,781,841,901,1141,1381,,,,,,,,,,,,,,
220621FINE1,Stimulus,bp,481,961,1261,1321,,,,,,,,,,,,,,,,,,,,
220621FINE1,Stimulus,nw,61,181,361,601,,,,,,,,,,,,,,,,,,,,
220811DMUN1,Stimulus,ss,121,181,661,781,1261,1321,,,,,,,,,,,,,,,,,,
220811DMUN1,Stimulus,fw,1,241,301,361,421,721,841,961,1021,1201,,,,,,,,,,,,,,
220811DMUN1,Stimulus,bp,61,601,1081,1141,,,,,,,,,,,,,,,,,,,,
220811DMUN1,Stimulus,nw,481,541,901,1381,,,,,,,,,,,,,,,,,,,,
220811DMUN3,Stimulus,ss,601,661,841,961,1141,1261,,,,,,,,,,,,,,,,,,
220811DMUN3,Stimulus,fw,1,61,181,241,301,421,481,781,901,1081,,,,,,,,,,,,,,
220811DMUN3,Stimulus,bp,121,361,721,1321,,,,,,,,,,,,,,,,,,,,
220811DMUN3,Stimulus,nw,541,1021,1201,1381,,,,,,,,,,,,,,,,,,,,
220914GHER1,Stimulus,ss,1,61,1021,1081,1261,1321,,,,,,,,,,,,,,,,,,
220914GHER1,Stimulus,fw,181,241,361,661,781,841,901,961,1201,1381,,,,,,,,,,,,,,
220914GHER1,Stimulus,bp,301,481,541,721,,,,,,,,,,,,,,,,,,,,
220914GHER1,Stimulus,nw,121,421,601,1141,,,,,,,,,,,,,,,,,,,,
220914GHER3,Stimulus,ss,61,361,421,481,1021,1381,,,,,,,,,,,,,,,,,,
220914GHER3,Stimulus,fw,121,181,241,541,601,661,781,841,1081,1261,,,,,,,,,,,,,,
220914GHER3,Stimulus,bp,301,721,901,961,,,,,,,,,,,,,,,,,,,,
220914GHER3,Stimulus,nw,1,1141,1201,1321,,,,,,,,,,,,,,,,,,,,
220919JDEN1,Stimulus,ss,61,241,361,421,1081,1201,,,,,,,,,,,,,,,,,,
220919JDEN1,Stimulus,fw,121,181,301,541,601,661,721,1141,1261,1321,,,,,,,,,,,,,,
220919JDEN1,Stimulus,bp,1,481,961,1021,,,,,,,,,,,,,,,,,,,,
220919JDEN1,Stimulus,nw,781,841,901,1381,,,,,,,,,,,,,,,,,,,,
220919JDEN3,Stimulus,ss,541,781,1021,1081,1201,1381,,,,,,,,,,,,,,,,,,
220919JDEN3,Stimulus,fw,121,241,301,661,721,841,901,961,1261,1321,,,,,,,,,,,,,,
220919JDEN3,Stimulus,bp,1,181,421,481,,,,,,,,,,,,,,,,,,,,
220919JDEN3,Stimulus,nw,61,361,601,1141,,,,,,,,,,,,,,,,,,,,
221103EKAS1,Stimulus,ss,721,841,961,1081,1201,1381,,,,,,,,,,,,,,,,,,
221103EKAS1,Stimulus,fw,61,181,301,361,421,661,781,1021,1141,1261,,,,,,,,,,,,,,
221103EKAS1,Stimulus,bp,1,241,481,901,,,,,,,,,,,,,,,,,,,,
221103EKAS1,Stimulus,nw,121,541,601,1321,,,,,,,,,,,,,,,,,,,,
READMREADME.txt,Stimulus,,1,,,,,,,,,,,,,,,,,,,,,,,
